MODEL,count
ERJ 170-200 LR,111303
A321-231,86595
ERJ 170-200 LL,55724
A321-253NX,38665
A320-232,38282
737-7H4,36796
737-8,28279
737-8H4,25190
CL-600-2C10,25160
A321-211,24729
737-924ER,24632
737-9,21758
737-900ER,20202
A320-271N,19702
737-800,19344
A321-271NX,18704
737-823,17604
737-832,17529
737-824,15362
A319-114,13707
737-932ER,13296
CL-600-2B19,12698
767-332,11531
A321-213,10370
757-224,9250
737-890,9158
737-990ER,8983
A320-212,7423
757-251,7122
A330-243,6544
757-33N,6261
777-222,5871
757-351,5118
757-324,4789
A319-132,4611
737-7BD,4110
787-9,3939
A319-112,3602
787-10,3461
767-432ER,3210
757-2Q8,3178
757-231,3098
A320-211,3007
777-223,2889
A321-271N,2876
A320-251N,2869
BD-500-1A10,2759
787-8,2255
737-7Q8,2139
737-990,2089
777-323ER,2061
BD-500-1A11,2011
757-232,1878
757-26D,1666
737-79P,1651
CL-600-2C11,1594
737-76N,1516
A350-941,1454
A320-214,1442
737-7CT,1348
767-322,1194
A319-131,1093
737-8EH,1088
737-752,1085
777-224,747
777-300ER,564
737-71B,520
737-76Q,486
737-73V,472
A330-941,445
737-7K9,386
A319-115,293
737-790,196
767-324,172
737-700,141
737-7K5,139
737-924,133
737-7BK,133
737-79L,133
737-7L9,132
767-3CB,131
767-424ER,129
737-8FH,110
A330-323,81
777-232LR,47
737-705,43
A330-302,36
A321-253N,26
737-7BX,20
CL-600-2D24,12
A330-223,9
737-724,8
BD-100-1A10,8
340A,6
HAWKER 900XP,3
737-7V3,1
777-232,1
